name,HPM,latitude,longitude,postal,count_of_postal_codes
Bukit Timah Shopping Centre,0,1.343164753416988,103.7760313543784,588179,1
Canberra Plaza,1,1.443495445279841,103.8303453692124,750133,1
Capitol Singapore,0,1.292987753822214,103.8510468298429,178884,1
Causeway Point,0,1.436070065080311,103.7859815242531,738099,1
Century Square,1,1.35236829566862,103.9438123022526,529509,1
Changi City Point,1,1.334036379,103.9629176,486038,1
Chinatown Point,0,1.283017452729275,103.843204514385,059413,4
Chinatown Point,0,1.283017452729275,103.843204514385,058967,4
Chinatown Point,0,1.283017452729275,103.843204514385,058965,4
Chinatown Point,0,1.283017452729275,103.843204514385,058966,4
Cinelesiure,0,1.30152101873534,103.8364296550156,239695,1
City Plaza,0,1.314786897197704,103.8934721151185,409286,1
City Square Mall,0,1.311421031076843,103.8566240199911,208539,1
Citylink,0,1.292777731289308,103.854173501417,039393,1
Compass One,1,1.39205314156707,103.8950705438402,545078,1
Coronation Shopping Plaza,0,1.323835121787596,103.8099995700472,269707,1
CQ@Clarke Quay,0,1.290694526976453,103.8459213740519,179020,5
CQ@Clarke Quay,0,1.290694526976453,103.8459213740519,179023,5
CQ@Clarke Quay,0,1.290694526976453,103.8459213740519,179021,5
CQ@Clarke Quay,0,1.290694526976453,103.8459213740519,179024,5
CQ@Clarke Quay,0,1.290694526976453,103.8459213740519,179022,5
Dawson PLace,0,1.292703398550616,103.810958956467,142057,1
Delfi Orchard,0,1.307178872984664,103.8284699943235,238876,1
Depot Heights Shopping Centre,0,1.280864938609272,103.8101425957688,100108,2
Depot Heights Shopping Centre,0,1.280864938609272,103.8101425957688,101108,2
Djit sun Mall Ang Mo Kio,0,1.37286217975215,103.8476449774928,569663,1
Djitsun Mall Bedok,0,1.326119703294682,103.9295544956149,469661,1
Downtown East,1,1.379127178780095,103.9554447581442,519599,1
Eastpoint Mall,1,1.342705923555769,103.9530246182335,528833,1
Elias Mall,1,1.377828766164656,103.942364336974,510625,2
Elias Mall,1,1.377828766164656,103.942364336974,510623,2
Fajar Shopping Centre,0,1.383777987384137,103.7713506785504,670445,3
Fajar Shopping Centre,0,1.383777987384137,103.7713506785504,670446,3
Fajar Shopping Centre,0,1.383777987384137,103.7713506785504,671446,3
Far East Square,0,1.282714560785899,103.8485901254267,049965,35
Far East Square,0,1.282714560785899,103.8485901254267,049959,35
Far East Square,0,1.282714560785899,103.8485901254267,049561,35
Far East Square,0,1.282714560785899,103.8485901254267,048762,35
Far East Square,0,1.282714560785899,103.8485901254267,049962,35
Far East Square,0,1.282714560785899,103.8485901254267,049568,35
Far East Square,0,1.282714560785899,103.8485901254267,049964,35
Far East Square,0,1.282714560785899,103.8485901254267,048466,35
Far East Square,0,1.282714560785899,103.8485901254267,048761,35
Far East Square,0,1.282714560785899,103.8485901254267,048467,35
Far East Square,0,1.282714560785899,103.8485901254267,049560,35
Far East Square,0,1.282714560785899,103.8485901254267,049565,35
Far East Square,0,1.282714560785899,103.8485901254267,049564,35
Far East Square,0,1.282714560785899,103.8485901254267,049960,35
Far East Square,0,1.282714560785899,103.8485901254267,049963,35
Far East Square,0,1.282714560785899,103.8485901254267,049562,35
Far East Square,0,1.282714560785899,103.8485901254267,049567,35
Far East Square,0,1.282714560785899,103.8485901254267,048765,35
Far East Square,0,1.282714560785899,103.8485901254267,048766,35
Far East Square,0,1.282714560785899,103.8485901254267,048768,35
Far East Square,0,1.282714560785899,103.8485901254267,048468,35
Far East Square,0,1.282714560785899,103.8485901254267,048469,35
Far East Square,0,1.282714560785899,103.8485901254267,048473,35
Far East Square,0,1.282714560785899,103.8485901254267,049570,35
Far East Square,0,1.282714560785899,103.8485901254267,049961,35
Far East Square,0,1.282714560785899,103.8485901254267,049563,35
Far East Square,0,1.282714560785899,103.8485901254267,049566,35
Far East Square,0,1.282714560785899,103.8485901254267,048763,35
Far East Square,0,1.282714560785899,103.8485901254267,048764,35
Far East Square,0,1.282714560785899,103.8485901254267,048767,35
Far East Square,0,1.282714560785899,103.8485901254267,048769,35
Far East Square,0,1.282714560785899,103.8485901254267,048770,35
Far East Square,0,1.282714560785899,103.8485901254267,048470,35
Far East Square,0,1.282714560785899,103.8485901254267,048471,35
Far East Square,0,1.282714560785899,103.8485901254267,048472,35
Fortune Centre,0,1.300422419139759,103.8522866273858,188979,1
Forum Shopping Mall,0,1.306097521645643,103.8286785560409,238884,1
Funan,1,1.291119640281415,103.8498750388073,179105,2
Funan,1,1.291119640281415,103.8498750388073,179097,2
GR.ID,0,1.300108267234854,103.8492641279103,188306,1
Grantral Mall@Clementi,0,1.314270439222949,103.7651474874818,129581,1
Grantral Mall@Macpherson,0,1.333722109,103.8875308,368242,1
Great World City,0,1.293422726500028,103.8320221466545,237994,1
Greenridge Shopping Centre,0,1.385405692832715,103.7662284681845,671524,1
Greenwich V,0,1.387395393970164,103.8691359781725,807011,1
Guoco Tower,0,1.276799927964345,103.8456182956565,078881,5
Guoco Tower,0,1.276799927964345,103.8456182956565,078884,5
Guoco Tower,0,1.276799927964345,103.8456182956565,078883,5
Guoco Tower,0,1.276799927964345,103.8456182956565,078882,5
Guoco Tower,0,1.276799927964345,103.8456182956565,078885,5
Harbourfront Centre,0,1.263775661,103.8185622,099253,2
Harbourfront Centre,0,1.263775661,103.8185622,099549,2
Heartland Mall,0,1.359541773255625,103.8851673727259,530205,1
Hillion Mall,1,1.37843100827587,103.7628427898765,678278,1
Hillv2,0,1.362674508280243,103.7641729200599,667979,1
Hougang 1,0,1.37571530699876,103.879472337592,538692,1
Hougang Mall,0,1.372491186358026,103.8937740666245,538766,1
Hougang Rivercourt,1,1.36220591877146,103.8947421164873,530377,3
Hougang Rivercourt,1,1.36220591877146,103.8947421164873,531377,3
Hougang Rivercourt,1,1.36220591877146,103.8947421164873,532377,3
Icon Village,0,1.275082974,103.8445102,078877,1
IMM,1,1.302101271093222,103.793724128024,609601,2
IMM,1,1.302101271093222,103.793724128024,138648,2
ION Orchard,0,1.303979741445055,103.832032328465,238801,1
Jelita Mall,0,1.317545559398872,103.7858505425145,278628,1
Jem,1,1.333059992695819,103.7435037081684,608549,2
Jem,1,1.333059992695819,103.7435037081684,608550,2
Jewel Changi Airport,0,1.360341006610217,103.9890775502096,819666,1
Joo Chiat Complex,0,1.315876534009996,103.8983780993154,420001,1
Jubilee Square,0,1.371785586,103.8478376,569814,1
Junction 10,0,1.38033681049385,103.7601678834385,677899,1
Junction 8,1,1.350481253450499,103.848760473211,579837,1
Junction Nine,0,1.433122839831811,103.8416609859896,768897,1
Jurong Point,1,1.339452716614461,103.7066850128896,648886,1
Kada@Maxwell,0,1.280331427273161,103.8447472274788,069184,1
Kallang Wave Mall,0,1.30307515150401,103.8731497075906,397628,1
Kampung Admiralty,1,1.439567156551042,103.8010311842803,730676,3
Kampung Admiralty,1,1.439567156551042,103.8010311842803,731676,3
Kampung Admiralty,1,1.439567156551042,103.8010311842803,732676,3
